Tags actually read off the machine
==================================
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=7, port=64973, ip_address=192.168.1.101, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=8, port=64952, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=7, port=64973, ip_address=192.168.1.101, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=8, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=9, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=10, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=11, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=12, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=13, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=14, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=192.168.1.253, destination_x=0, destination_y=0, tag=15, port=64954, ip_address=192.168.1.101, strip_sdp=False, traffic_identifier=DEFAULT)
